Ref,Val,Package,PosX,PosY,Rot,Side
"C2","100n","C_0603_1608Metric",103.115000,-73.777500,0.000000,bottom
"C3","100n","C_0603_1608Metric",94.740000,-69.417000,0.000000,bottom
"C4","100n","C_0603_1608Metric",94.005000,-72.047000,90.000000,bottom
"C5","100n","C_0603_1608Metric",96.698000,-72.809000,180.000000,bottom
"C6","10n","C_0603_1608Metric",103.141000,-68.166500,0.000000,bottom
"C7","1u","C_0603_1608Metric",103.169000,-69.963500,0.000000,bottom
"C8","1u","C_0603_1608Metric",103.138000,-66.351500,0.000000,bottom
"C12","100n","C_0603_1608Metric",103.135000,-71.824500,0.000000,bottom
"C13","22p","C_0402_1005Metric",109.905000,-73.445500,0.000000,bottom
"C14","22p","C_0402_1005Metric",109.855000,-68.485500,0.000000,bottom
"C20","100n","C_0603_1608Metric",164.601000,-102.848000,180.000000,bottom
"C21","100n","C_0603_1608Metric",88.792000,-102.897000,180.000000,bottom
"C22","100n","C_0603_1608Metric",114.332000,-102.861000,180.000000,bottom
"C23","100n","C_0603_1608Metric",63.479000,-102.847000,180.000000,bottom
"C24","100n","C_0603_1608Metric",139.544000,-102.864000,180.000000,bottom
"FB1","FerriteBead","L_0805_2012Metric",103.360500,-64.228500,0.000000,bottom
"J13","Conn_01x32","Hirose_FH12-32S-0.5SH_1x32-1MP_P0.50mm_Horizontal",171.818000,-117.021000,180.000000,bottom
"J14","Conn_01x32","Hirose_FH12-32S-0.5SH_1x32-1MP_P0.50mm_Horizontal",70.703000,-117.026000,180.000000,bottom
"J15","Conn_01x32","Hirose_FH12-32S-0.5SH_1x32-1MP_P0.50mm_Horizontal",96.088000,-117.026000,180.000000,bottom
"J16","Conn_01x32","Hirose_FH12-32S-0.5SH_1x32-1MP_P0.50mm_Horizontal",121.618000,-117.026000,180.000000,bottom
"J17","Conn_01x32","Hirose_FH12-32S-0.5SH_1x32-1MP_P0.50mm_Horizontal",146.718000,-117.021000,180.000000,bottom
"R2","10k","R_0603_1608Metric",95.808000,-77.338500,0.000000,bottom
"U10","ADG732BSUZ","TQFP-48_7x7mm_P0.5mm",171.818000,-107.016000,0.000000,bottom
"U11","ADG732BSUZ","TQFP-48_7x7mm_P0.5mm",96.087500,-107.010000,0.000000,bottom
"U12","ADG732BSUZ","TQFP-48_7x7mm_P0.5mm",121.617500,-107.019000,0.000000,bottom
"U13","ADG732BSUZ","TQFP-48_7x7mm_P0.5mm",70.690500,-107.011000,0.000000,bottom
"U14","ADG732BSUZ","TQFP-48_7x7mm_P0.5mm",146.717500,-107.014000,0.000000,bottom
"C1","100n","C_0603_1608Metric",61.062000,-72.892000,0.000000,top
"C9","10u","C_1206_3216Metric",71.688000,-62.569000,-90.000000,top
"C10","100n","C_0603_1608Metric",75.888000,-63.648000,180.000000,top
"C11","4.7u","C_1206_3216Metric",75.076000,-66.855000,180.000000,top
"C15","100n","C_0603_1608Metric",179.072000,-102.841000,0.000000,top
"C16","100n","C_0603_1608Metric",153.950000,-102.848000,0.000000,top
"C17","100n","C_0603_1608Metric",77.834000,-102.821000,0.000000,top
"C18","100n","C_0603_1608Metric",103.675000,-102.844000,0.000000,top
"C19","100n","C_0603_1608Metric",128.796000,-102.851000,0.000000,top
"D1","1N5819","D_MicroMELF",68.003000,-61.161000,180.000000,top
"J2","Boot Conn","PinHeader_2x03_P2.54mm_Vertical",81.173000,-68.392000,0.000000,top
"J5","SWD","PinHeader_1x04_P2.54mm_Vertical",93.043000,-60.582500,90.000000,top
"J6","Conn_01x03","PinHeader_1x03_P2.54mm_Vertical",117.328999,-75.048000,0.000000,top
"J7","Gyro_Sensor_ICM_20948_SparkFun_Module","PinSocket_1x06_P2.54mm_Vertical",187.283000,-81.645000,0.000000,top
"J8","Conn_01x32","Hirose_FH12-32S-0.5SH_1x32-1MP_P0.50mm_Horizontal",171.818000,-117.021000,0.000000,top
"J9","Conn_01x32","Hirose_FH12-32S-0.5SH_1x32-1MP_P0.50mm_Horizontal",146.718000,-117.021000,0.000000,top
"J10","Conn_01x32","Hirose_FH12-32S-0.5SH_1x32-1MP_P0.50mm_Horizontal",70.703000,-117.026000,0.000000,top
"J11","Conn_01x32","Hirose_FH12-32S-0.5SH_1x32-1MP_P0.50mm_Horizontal",96.088000,-117.026000,0.000000,top
"J12","Conn_01x32","Hirose_FH12-32S-0.5SH_1x32-1MP_P0.50mm_Horizontal",121.618000,-117.026000,0.000000,top
"J18","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",121.835499,-85.061000,90.000000,top
"J19","Power_Conn","PinHeader_1x03_P2.54mm_Vertical",67.118000,-57.166000,-90.000000,top
"L1","L","L_0805_2012Metric",75.600500,-61.112000,0.000000,top
"P1","USB_C_Plug_USB2.0","USB_C_Receptacle_Amphenol_12401610E4-2A",59.178000,-65.751000,-90.000000,top
"R1","5.1k","R_0603_1608Metric",68.003000,-64.131000,0.000000,top
"R3","10k","R_0603_1608Metric",64.713000,-72.892000,180.000000,top
