Designator,Mid X,Mid Y,Layer,Rotation
C1,81.794,-43.8055,B,0
C2,73.419,-39.445,B,0
C3,72.684,-42.075,B,90
C4,75.377,-42.837,B,180
C5,81.82,-38.1945,B,0
C6,81.848,-39.9915,B,0
C7,81.817,-36.3795,B,0
C12,81.814,-41.8525,B,0
C13,89.113,-43.525,B,0
C14,89.1,-38.5135,B,0
C20,143.28,-72.876,B,180
C21,67.471,-72.925,B,180
C22,93.011,-72.889,B,180
C23,42.158,-72.875,B,180
C24,118.223,-72.892,B,180
FB1,82.0395,-34.2565,B,0
J15,150.497,-87.049,B,180
J16,49.382,-87.054,B,180
J17,74.767,-87.054,B,180
J18,100.297,-87.054,B,180
J19,125.397,-87.049,B,180
R2,74.487,-47.3665,B,0
U10,150.497,-77.044,B,0
U11,74.7665,-77.038,B,0
U12,100.2965,-77.047,B,0
U13,49.3695,-77.039,B,0
U14,125.3965,-77.042,B,0
C8,39.741,-42.92,T,0
C9,50.367,-32.597,T,-90
C10,54.567,-33.676,T,180
C11,53.755,-36.883,T,180
C15,157.751,-72.869,T,0
C16,132.629,-72.876,T,0
C17,56.513,-72.849,T,0
C18,82.354,-72.872,T,0
C19,107.475,-72.879,T,0
D1,46.682,-31.189,T,180
D2,79.272,-48.6645,T,90
D3,82.229,-48.6635,T,90
J1,45.797,-27.194,T,-90
J3,59.852,-38.42,T,0
J5,69.924,-30.625,T,90
J6,100.5155,-55.752,T,90
J7,96.009,-45.739,T,0
J9,165.962,-51.673,T,0
J10,150.497,-87.049,T,0
J11,125.397,-87.049,T,0
J12,49.382,-87.054,T,0
J13,74.767,-87.054,T,0
J14,100.297,-87.054,T,0
L1,54.2795,-31.14,T,0
P1,37.857,-35.779,T,-90
R1,46.682,-34.159,T,0
R3,79.273,-52.857,T,-90
R4,82.224,-52.864,T,-90
R5,43.392,-42.92,T,180
R6,114.91,-44.431,T,-90
RV1,109.3,-45.706,T,90
SW1,61.386,-31.008,T,0
U1,117.441,-43.287,T,90
U2,41.717,-49.716,T,90
U3,101.885,-48.176,T,90
U4,74.56,-41.0145,T,180
U5,150.497,-77.044,T,180
U6,125.397,-77.043,T,180
U7,49.3695,-77.039,T,180
U8,74.767,-77.039,T,180
U9,100.297,-77.048,T,180
Y1,86.544,-43.4685,T,90
